Type,EDI_Std_Nomenclature,AISC_Manual_Label,EDI_Std_Nomenclature,AISC_Manual_Label
L,L7X4X3/4,L7X4X3/4,L178X102X19,L178X102X19
L,L7X4X5/8,L7X4X5/8,L178X102X15.9,L178X102X15.9
L,L7X4X1/2,L7X4X1/2,L178X102X12.7,L178X102X12.7
L,L7X4X7/16,L7X4X7/16,L178X102X11.1,L178X102X11.1
L,L7X4X3/8,L7X4X3/8,L178X102X9.5,L178X102X9.5
L,L6X6X1,L6X6X1,L152X152X25.4,L152X152X25.4
L,L6X6X7/8,L6X6X7/8,L152X152X22.2,L152X152X22.2
L,L6X6X3/4,L6X6X3/4,L152X152X19,L152X152X19
L,L6X6X5/8,L6X6X5/8,L152X152X15.9,L152X152X15.9
L,L6X6X9/16,L6X6X9/16,L152X152X14.3,L152X152X14.3
L,L6X6X1/2,L6X6X1/2,L152X152X12.7,L152X152X12.7
L,L6X6X7/16,L6X6X7/16,L152X152X11.1,L152X152X11.1
L,L6X6X3/8,L6X6X3/8,L152X152X9.5,L152X152X9.5
L,L6X6X5/16,L6X6X5/16,L152X152X7.9,L152X152X7.9
L,L6X4X7/8,L6X4X7/8,L152X102X22.2,L152X102X22.2
L,L6X4X3/4,L6X4X3/4,L152X102X19,L152X102X19
L,L6X4X5/8,L6X4X5/8,L152X102X15.9,L152X102X15.9
L,L6X4X9/16,L6X4X9/16,L152X102X14.3,L152X102X14.3
L,L6X4X1/2,L6X4X1/2,L152X102X12.7,L152X102X12.7
L,L6X4X7/16,L6X4X7/16,L152X102X11.1,L152X102X11.1
L,L6X4X3/8,L6X4X3/8,L152X102X9.5,L152X102X9.5
L,L6X4X5/16,L6X4X5/16,L152X102X7.9,L152X102X7.9
L,L6X3-1/2X1/2,L6X3-1/2X1/2,L152X89X12.7,L152X89X12.7
L,L6X3-1/2X3/8,L6X3-1/2X3/8,L152X89X9.5,L152X89X9.5
L,L6X3-1/2X5/16,L6X3-1/2X5/16,L152X89X7.9,L152X89X7.9
L,L5X5X7/8,L5X5X7/8,L127X127X22.2,L127X127X22.2
L,L5X5X3/4,L5X5X3/4,L127X127X19,L127X127X19
L,L5X5X5/8,L5X5X5/8,L127X127X15.9,L127X127X15.9
L,L5X5X1/2,L5X5X1/2,L127X127X12.7,L127X127X12.7
L,L5X5X7/16,L5X5X7/16,L127X127X11.1,L127X127X11.1
